PERFIL,Regimen,Modalidad,Forma_Pago,Fec_efecto_spto,D_s_a_RC_Caza,D_s_a_RC_Caza_Sup,D_s_a_RC_Pesca,D_s_a_Fallecimiento_Caza,D_s_a_Incapacidad_Caza,D_s_a_Asis_Sani_Caza,D_s_a_Fallecimiento_Pesca,D_s_a_Incapacidad_Pesca,D_s_a_Asis_Sani_Pesca,D_s_a_Perdida_Arma,D_s_a_Def_Jur,D_s_a_Asistencia,P_RC_Caza,P_RC_Caza_Sup,P_RC_Pesca,P_Fallecimiento_Caza,P_Incapacidad_Caza,P_Asis_Sani_Caza,P_Fallecimiento_Pesca,P_Incapacidad_Pesca,P_Asis_Sani_Pesca,P_Perdida_Arma,P_Def_Jur,P_Asistencia,FEC_EFECTO_SPTO_FORMATEADA
1,F,200111,1,14/05/2025,91151.82,60000,150000,30000,30000,3000,30000,30000,3000,1000,3000,3000,125.50,60.00,150.00,30.00,30.00,3.00,30.00,30.00,3.00,1.00,3.00,3.00,2025-05-14T00:00:00.000+0100
2,J,200112,2,06/11/2024,0,0,120000,0,0,0,25000,25000,2500,0,2500,2500,0,0,120.00,0,0,0,25.00,25.00,2.50,0,2.50,2.50,2024-11-06T00:00:00.000+0100
3,F,200113,3,01/01/2025,80000,50000,130000,28000,28000,2800,28000,28000,2800,900,2800,2800,110.00,50.00,130.00,28.00,28.00,2.80,28.00,28.00,2.80,0.90,2.80,2.80,2025-01-01T00:00:00.000+0100
4,J,200111,1,15/03/2025,95000,62000,0,32000,32000,3200,0,0,0,1100,3200,3200,130.00,62.00,0,32.00,32.00,3.20,0,0,0,1.10,3.20,3.20,2025-03-15T00:00:00.000+0100
5,F,200113,2,22/07/2024,70000,45000,110000,0,22000,2200,22000,22000,2200,800,2200,2200,95.00,45.00,110.00,0,22.00,2.20,22.00,22.00,2.20,0.80,2.20,2.20,2024-07-22T00:00:00.000+0100
6,F,200112,1,30/09/2024,0,0,140000,0,0,0,29000,29000,2900,0,2900,2900,0,0,140.00,0,0,0,29.00,29.00,2.90,0,2.90,2.90,2024-09-30T00:00:00.000+0100
7,J,200113,3,11/02/2025,88000,55000,135000,0,0,3100,0,0,3100,950,3100,3100,115.00,55.00,135.00,0,0,3.10,0,0,3.10,0.95,3.10,3.10,2025-02-11T00:00:00.000+0100
8,F,200111,1,05/05/2025,75000,48000,0,27000,27000,2700,0,0,0,850,2700,2700,100.00,48.00,0,27.00,27.00,2.70,0,0,0,0.85,2.70,2.70,2025-05-05T00:00:00.000+0100
9,J,200112,2,18/08/2024,0,0,160000,0,0,0,31000,31000,3100,0,3100,3100,0,0,160.00,0,0,0,31.00,31.00,3.10,0,3.10,3.10,2024-08-18T00:00:00.000+0100
10,F,200113,3,25/12/2024,92000,58000,145000,33000,33000,3300,33000,33000,3300,1050,3300,3300,120.00,58.00,145.00,33.00,33.00,3.30,33.00,33.00,3.30,1.05,3.30,3.30,2024-12-25T00:00:00.000+0100
11,F,200111,1,03/04/2025,83000,52000,0,29500,29500,2950,0,0,0,920,2950,2950,112.00,52.00,0,29.50,29.50,2.95,0,0,0,0.92,2.95,2.95,2025-04-03T00:00:00.000+0100
12,J,200112,2,14/06/2024,0,0,125000,0,0,0,26500,26500,2650,0,2650,2650,0,0,125.00,0,0,0,26.50,26.50,2.65,0,2.65,2.65,2024-06-14T00:00:00.000+0100
13,F,200113,1,20/10/2024,86000,54000,132000,31000,31000,3050,31000,31000,3050,980,3050,3050,118.00,54.00,132.00,31.00,31.00,3.05,31.00,31.00,3.05,0.98,3.05,3.05,2024-10-20T00:00:00.000+0100
14,J,200111,3,07/01/2025,78000,49000,0,28500,28500,2850,0,0,0,880,2850,2850,105.00,49.00,0,28.50,28.50,2.85,0,0,0,0.88,2.85,2.85,2025-01-07T00:00:00.000+0100
15,F,200112,2,29/03/2025,0,0,155000,0,0,0,30500,30500,3050,0,3050,3050,0,0,155.00,0,0,0,30.50,30.50,3.05,0,3.05,3.05,2025-03-29T00:00:00.000+0100
16,J,200113,1,16/09/2024,89000,56000,138000,0,0,3200,0,0,3200,960,3200,3200,116.00,56.00,138.00,0,0,3.20,0,0,3.20,0.96,3.20,3.20,2024-09-16T00:00:00.000+0100
17,F,200111,3,12/11/2024,72000,46000,0,26000,26000,2600,0,0,0,820,2600,2600,98.00,46.00,0,26.00,26.00,2.60,0,0,0,0.82,2.60,2.60,2024-11-12T00:00:00.000+0100
18,F,200112,1,28/02/2025,0,0,148000,0,0,0,0,29500,2950,0,2950,2950,0,0,148.00,0,0,0,0,29.50,2.95,0,2.95,2.95,2025-02-28T00:00:00.000+0100
19,J,200113,2,04/08/2024,94000,61000,152000,34000,34000,3400,34000,34000,3400,1080,3400,3400,128.00,61.00,152.00,34.00,34.00,3.40,34.00,34.00,3.40,1.08,3.40,3.40,2024-08-04T00:00:00.000+0100
20,F,200111,1,19/04/2025,87000,53000,0,30000,30000,3000,0,0,0,940,3000,3000,117.00,53.00,0,30.00,30.00,3.00,0,0,0,0.94,3.00,3.00,2025-04-19T00:00:00.000+0100
